road,length_km,start_lat,start_lon,end_lat,end_lon,start_name,end_name,passes_length,min_dist_to_main_m,connected_by_distance,selected,reason,selection_source
N406,3.042,24.06058243841464,90.22557453155488,24.0793049,90.2081944,The road starts from N4 near IT park Gate,The road ends intersecting N4 at Kaliakoir,False,45216.083070570254,False,False,not selected,distance_rule_rejected
N605,2.96,24.3684438,88.5811104,24.3745549,88.6040556,Start from CEB more from N6,"Conn. With R680, At Bahide more",False,201024.73182272303,False,False,not selected,distance_rule_rejected
N129,2.79,22.5226382,91.7040833,22.5015833,91.7134722,Start of road from N1,End of road Intersecting N1,False,41.80770773831989,True,False,not selected,distance_rule_rejected
N510,2.784,24.8480552,89.3726938,24.8417774,89.3472219,"Start from N 514 at Satmatha more, Bogra.","End at reen Matha more and meet with N5, Bogra.",False,167039.43370137384,False,False,not selected,distance_rule_rejected
N112,2.72,23.0091944,91.3693882,23.0318604,91.3742493,Start of from N104 at Pach Gachia mor,Start of road at Dewangonj mor meet with Z1031,False,35.35549637116911,True,False,not selected,distance_rule_rejected
N520,2.601,24.3049167,89.5652222,24.3246104,89.5627778,"Start at Kawok more intersection at N5, Ullapara ,Sirajganj.","End at srikola more and intersection N5, Ullapara, Sirajganj.",False,111312.57416761278,False,False,not selected,distance_rule_rejected
N109,2.51,21.4433608,92.1014722,21.4284716,92.0953052,Road Start from N1 at after Ramu Hospital.,Road end with Khalekuzzaman Chattar at N1.,False,11.905136734941447,True,False,not selected,distance_rule_rejected
N205,2.478,24.8677771,91.8571111,24.886083,91.8680827,Road start from N2 at Chandipool.,The road end Intersecting N208 Near the Bridge,False,60.88353224451045,True,False,not selected,distance_rule_rejected
N119,2.38,23.4914441,90.9936108,23.4867774,91.0128056,"Start of road from N1 at Palki Chinema Hall , Chandin, Comilla.",Box Culvert,False,148.40391150841432,True,False,not selected,distance_rule_rejected
N407,2.206,24.2223049,89.9781104,24.2307493,89.9929719,The road starts from N408 at Karatia Bazar,The road ends Intersecting Z4012 at Bangra,False,74149.97231812257,False,False,not selected,distance_rule_rejected
N206,1.797,24.8859441,91.868166,24.8939441,91.8783049,"Road start at Keean bridge More ,intersection of N209, R250, N205 anf N206",Road End with N2 at Nyarpool,False,24.3482582179694,True,False,not selected,distance_rule_rejected
N209,1.33,24.8775549,91.8753604,24.8859441,91.868166,Start of the Road at Humayun Rashid Chattar Intersection between N2 and N209  ,"Road End at Keean bridge More at Intersection of N205, R250 , N209 and N206",False,17.582904658979828,True,False,not selected,distance_rule_rejected
N128,1.297,22.624666,91.6548056,22.61475,91.6608611,Start of road from N1,End of road,False,23.369513115919943,True,False,not selected,distance_rule_rejected
N303,1.009,24.6712771,90.4035833,24.6784993,90.4071667,The Road starts from N3 before Churkhai Bazar,The Road ends intersecting N3 after Churkhai Bazar,False,83043.32442063058,False,False,not selected,distance_rule_rejected
N701,1.0,23.7689716,89.7870552,23.7651389,89.7805549,Start of road from N7 at Dauladia Ferry Ghate.,End of road and meet with N7,False,67127.69971741794,False,False,not selected,distance_rule_rejected
N203,0.975,24.0537222,90.9875552,24.05075,90.9951108,Road start from N2 at Bhairab.,The road ends at Old Ferryghat.,False,32.02970697829235,True,False,not selected,distance_rule_rejected
N710,0.4,22.8179993,89.5595833,22.8163889,89.5628056,"Start from N-7 at ferryghate more near Khan Jahan Ali road infornt of Motor Bus Somity, Khulna",End of road at Dakbangla more (Khulna),False,133704.19402736815,False,False,not selected,distance_rule_rejected
