id,road,lrp,chainage,lat,lon,name,model_type,structure_type,length,condition
346,N1,LRP156,152.892,22.9663333,91.4356108,Km post missing,link,,780.0000000000011,N/A
347,N1,LRP156A,153.672,22.9624167,91.4416941,Bridge start,bridge,Bridge,109.00000000000887,C
348,N1,LRP156B,153.781,22.9618056,91.4424997,Bridge end,bridge,Bridge,110.99999999999,C
349,N1,LRP157,153.892,22.9611667,91.4433886,Km post missing,link,,1043.0000000000064,N/A
350,N1,LRP158,154.935,22.9561389,91.4517778,Ctg 87 km,link,,1000.0,N/A
351,N1,LRP159,155.935,22.9514444,91.4600278,Km post missing,link,,1012.0000000000005,N/A
352,N1,LRP160,156.947,22.9479997,91.4689993,"Ctg 85 km,Bairyahat 10 km",link,,737.9999999999995,N/A
353,N1,LRP160A,157.685,22.9483608,91.4761382,Road to Mounshirhat (Z1081),link,,262.00000000000045,N/A
354,N1,LRP161,157.947,22.9484997,91.4786938,Km post missing,link,,1008.0000000000098,N/A
355,N1,LRP162,158.955,22.9497497,91.4883608,Ctg 83 km,link,,1000.0,N/A
356,N1,LRP163,159.955,22.9497774,91.4980274,Km post missing,link,,287.9999999999825,N/A
357,N1,LRP163A,160.243,22.9496663,91.5007778,Bridge start,bridge,Bridge,211.00000000001273,B
358,N1,LRP163B,160.454,22.949583,91.5027778,Bridge end,bridge,Bridge,508.99999999998613,B
359,N1,LRP164,160.963,22.9482774,91.50725,Ctg 81 kkm,link,,618.9999999999998,N/A
360,N1,LRP164A,161.582,22.9439441,91.5108611,Road to Chhagalnaiya (Z1032),link,,381.0000000000002,N/A
361,N1,LRP165,161.963,22.940833,91.5124444,Km post missing,link,,1000.0,N/A
362,N1,LRP166,162.963,22.9329716,91.5172216,Km post missing,link,,1000.0,N/A
363,N1,LRP167,163.963,22.9248882,91.5213327,Km post missing,link,,1000.0,N/A
364,N1,LRP168,164.963,22.9167216,91.5253882,Km post missing,link,,134.00000000001455,N/A
365,N1,LRP168A,165.097,22.9156667,91.5259438,Bridge start,bridge,Bridge,227.99999999998022,A
366,N1,LRP168B,165.325,22.9138056,91.5268604,Bridge end/Start of Chittagong Road Division / Bridge end/Start of Chittagong Road Division,bridge,Bridge,638.0000000000052,A
367,N1,LRP169,165.963,22.9085833,91.5294993,Km post missing,link,,463.99999999999864,N/A
368,N1,LRP169A,166.427,22.9046667,91.5314438,Box culvert,bridge,Culvert,536.0000000000014,A
369,N1,LRP170,166.963,22.9003333,91.5333608,Km post missing,link,,82.99999999999841,N/A
370,N1,LRP170A,167.046,22.8994441,91.5336108,End of Bituminous Pavment,link,,637.0000000000005,N/A
371,N1,LRP170B,167.683,22.8939997,91.5346941,Road to Karerhat (R151),link,,112.99999999999955,N/A
372,N1,LRP170C,167.796,22.8929719,91.5350274,Start of Bituminious Pavement,link,,104.00000000001342,N/A
373,N1,LRP170D,167.9,22.8921663,91.5353052,Box culvert,bridge,Box Culvert,62.99999999998818,A
374,N1,LRP171,167.963,22.8916386,91.5354719,Km post missing,link,,1000.0,N/A
375,N1,LRP172,168.963,22.8829993,91.5381663,Km post missing / Box culvert,bridge,Box Culvert,914.999999999992,A
376,N1,LRP172B,169.878,22.875166,91.5407219,Box culvert,bridge,Box Culvert,85.00000000000796,A
377,N1,LRP173,169.963,22.8744438,91.5409719,Km post missing,link,,162.00000000000614,N/A
378,N1,LRP173A,170.125,22.8731382,91.5414441,Box culvert,bridge,Box Culvert,556.0000000000116,A
