bridge_id,bridge_name,road_name,condition,length,total_wait_time
539,Bridge end,N1,A,449.0000000000123,316.8424403510901
542,Bridge start,N1,B,38.000000000010914,8444.147141163881
543,Bridge end,N1,B,796.999999999997,539.8642632599909
546,Box culvert,N1,A,1.999999999981128,1988.6925623199127
550,Bridge start,N1,A,7.000000000005002,1851.3260118077942
551,Bridge end,N1,A,489.0000000000043,208.2106227209979
554,Box culvert,N1,A,350.9999999999991,142.98350671053538
555,Bridge start,N1,A,58.9999999999975,4761.752377917496
556,Bridge end,N1,A,313.9999999999929,188.3411606383276
558,Box culvert,N1,A,375.0,124.00739450237366
560,Bridge start,N1,A,19.000000000005457,3078.087825570803
561,Bridge end,N1,A,544.9999999999875,365.98895920882023
567,Box culvert,N1,C,830.9999999999889,1222.4230542795215
569,Bridge start,N1,A,14.000000000010004,2377.7572847616366
570,Bridge end,N1,A,914.999999999992,236.87301222851977
572,Bridge start,N1,B,44.00000000001114,7247.187724903444
573,Bridge end,N1,B,406.9999999999823,272.40932361080274
575,Bridge start,N1,B,44.99999999998749,7408.568502220245
576,Bridge end,N1,B,80.0000000000125,17074.808842087452
577,Bridge start,N1,B,46.99999999999704,6077.45267366804
578,Bridge end,N1,B,775.999999999982,515.321600809683
580,Shah Amanath (Karnaphuli) Bridge,N1,A,790.9999999999968,166.02868093261955
582,Bridge end,N1,A,702.0000000000266,271.09649368486646
583,Bridge start,N1,A,15.999999999991132,5622.940653096134
584,Bridge end,N1,A,44.99999999998749,5558.088291081718
588,Box culvert,N1,C,146.99999999999136,20610.792902368827
590,Box culvert,N1,A,308.9999999999975,211.9643177705538
591,Box culvert,N1,A,293.0000000000064,192.2627533597972
593,Box culvert,N1,A,426.9999999999925,335.37809078064475
596,Box culvert,N1,A,447.00000000000273,152.6662445192746
597,Box culvert,N1,A,262.00000000000045,407.4907996247244
598,Bridge start,N1,A,66.99999999997885,5815.565658303293
600,Bridge end,N1,A,263.00000000000523,358.4818672552319
601,Box Culvert,N1,B,688.999999999993,570.1182929073179
605,Box culvert,N1,B,454.0000000000077,527.929391777381
607,Box culvert,N1,A,871.9999999999857,197.8426648485799
609,Box culvert,N1,A,424.0000000000066,273.5317768667796
611,Box culvert,N1,A,167.99999999997794,6733.386430136499
612,Box culvert,N1,A,521.000000000015,260.3981108933544
613,Box culvert,N1,A,121.00000000003774,9559.650838369971
616,Box culvert,N1,A,250.0,194.97559080478112
619,Box culvert,N1,A,392.99999999997226,303.5217934635154
622,Bridge start,N1,B,52.00000000002092,19204.69954055329
623,Bridge end,N1,B,21.99999999999136,4391.658953377915
626,Slab Culvert,N1,A,166.00000000005366,6093.760514215067
630,Box culvert,N1,A,21.000000000015007,1903.1226184593606
633,Bridge start,N1,B,72.00000000000273,13409.760098200619
634,Bridge end,N1,B,25.000000000034102,5335.70404877232
637,Box Culvert,N1,B,925.0000000000114,518.296603665196
639,Box culvert,N1,A,270.00000000003865,347.38123109050224
640,Box culvert,N1,A,515.9999999999627,150.51097917607524
642,Bridge start,N1,B,14.000000000010004,4893.650837290251
643,Bridge end,N1,B,233.99999999998045,643.7257220368244
644,Box Culvert,N1,B,125.99999999997635,14572.391131144399
646,Box culvert,N1,A,267.99999999997226,178.0088428727451
647,Box culvert,N1,A,329.00000000000773,374.3658799789185
649,Box culvert,N1,A,656.9999999999823,251.85550067472616
651,Box culvert,N1,A,478.999999999985,231.53111103775558
652,Box culvert,N1,A,139.00000000001,5822.391565170713
654,Box culvert,N1,B,178.99999999997362,15337.534746613117
655,Bridge start,N1,B,14.000000000010004,12822.420782340052
656,Bridge end,N1,B,216.00000000000816,385.8960954331081
658,Bridge start,N1,B,12.000000000000457,7498.119035678005
659,Bridge end,N1,B,437.0000000000118,387.80564453687344
660,Box culvert,N1,A,538.9999999999873,165.0809523609196
662,Box culvert,N1,A,515.0000000000432,282.4321252175127
665,Bridge start,N1,C,54.99999999994998,25351.172458086054
666,Bridge end,N1,C,286.00000000000136,973.2326493209508
667,Bridge start,N1,C,12.000000000000457,7239.533688560921
668,Bridge end,N1,C,105.0000000000182,27732.362898438863
674,Box culvert,N1,B,178.99999999997362,16451.66891168658
678,Bridge start,N1,B,217.00000000004135,746.7244528840569
679,Bridge end,N1,B,267.99999999997226,658.2776272208108
681,Bridge start,N1,A,9.000000000014552,1155.4486593448453
682,Bridge end,N1,A,206.00000000001728,190.27338843836085
685,Box Culvert,N1,A,501.0000000000332,345.11560872507044
686,Box Culvert,N1,A,161.00000000000136,9409.95104009154
688,Bridge start,N1,A,61.00000000003547,8440.175829689284
689,Bridge end,N1,A,223.99999999998957,337.88876984568765
690,Bridge start,N1,A,31.00000000000591,4455.083149165704
691,Bridge end,N1,A,484.9999999999568,307.44387264934676
693,Box culvert,N1,A,388.9999999999532,252.62069099001445
694,Box culvert,N1,A,600.9999999999991,196.43049129209126
696,Box culvert,N1,A,717.9999999999609,187.85094291436624
699,Box culvert,N1,A,250.0,304.4036645059493
702,Box culvert,N1,A,222.00000000003683,217.28034243578435
705,Box culvert,N1,A,418.0000000000064,116.64634103882737
707,Box culvert,N1,A,699.9999999999886,234.90004764913027
709,Bridge start,N1,A,33.00000000001546,2578.418094781083
710,Bridge end,N1,A,177.00000000002092,8470.147543228002
712,Bridge start,N1,A,45.00000000001592,3345.2576832948503
713,Bridge end,N1,A,379.99999999999545,250.66894970887785
714,Box culvert,N1,A,9.000000000014552,1515.625521432961
716,Box culvert,N1,A,514.9999999999864,295.05962238437195
