bridge_id,bridge_name,road_name,condition,total_wait_time
1034,Bridge end,N1,C,222.48496575386747
1035,Box culvert,N1,A,0.0
1037,Box culvert,N1,B,0.0
1038,Box culvert,N1,C,3110.671607904309
1040,Khulna Plong Bridge,N1,C,2415.42592510775
1041,Bridge end,N1,C,108.23702657538963
1043,Bridge start,N1,C,4296.331754539127
1044,Bridge end,N1,C,139.8094492897342
1045,Box culvert,N1,B,0.0
1047,Bridge start,N1,C,2854.1502755795827
1048,Bridge end,N1,C,6032.265506791926
1050,Bridge start,N1,C,4278.574169683187
1051,Bridge end,N1,B,0.0
1054,Box culvert,N1,C,3566.72274143713
1056,Box culvert,N1,D,275.6911380665401
1057,Bridge start,N1,D,9310.60714188768
1058,Bridge end,N1,D,2679.5478522711314
1061,Box culvert,N1,A,0.0
1062,Bridge start,N1,A,0.0
1063,Bridge end,N1,A,0.0
1064,Box culvert,N1,A,0.0
1067,Box culvert,N1,A,0.0
1068,Bridge start,N1,C,3918.592765638011
1069,Bridge end,N1,C,171.14014382648816
1070,Box Culvert,N1,C,5727.270857580757
1072,Bridge start,N1,C,3594.6623785878837
1073,Bridge end,N1,C,289.3829023708398
1074,Bridge start,N1,C,2419.325710954949
1075,Bridge end,N1,C,184.21897079916508
1077,Bridge start,N1,A,0.0
1078,Bridge end,N1,A,0.0
1079,Box culvert,N1,A,0.0
1080,Box culvert,N1,C,149.16182893836685
1082,Box culvert,N1,C,5097.75269321828
1083,Bridge start,N1,C,4058.5257707588507
1084,Bridge end,N1,C,245.892115957831
1085,Bridge start,N1,C,2661.2108484212617
1086,Bridge end,N1,C,2776.2510443704728
1089,Bridge start,N1,B,0.0
1090,Bridge end,N1,B,0.0
1095,Box culvert,N1,C,174.74767015013606
1096,Box culvert,N1,B,0.0
1098,Box culvert,N1,C,99.1731994838028
1099,Box culvert,N1,A,0.0
1100,Box culvert,N1,A,0.0
1102,Box culvert,N1,A,0.0
1103,Box culvert,N1,A,0.0
1104,Box culvert,N1,A,0.0
1106,Box culvert,N1,A,0.0
1107,Box culvert,N1,A,0.0
1110,Box culvert,N1,A,0.0
1111,Bridge start,N1,A,0.0
1112,Bridge end,N1,A,0.0
1113,Box culvert,N1,A,0.0
1115,Box culvert,N1,D,197.8054672238909
1116,Bridge start,N1,A,0.0
1117,Bridge end,N1,A,0.0
1119,Box culvert,N1,C,100.93573745240968
1121,Box culvert,N1,C,121.49332111493385
1122,Box culvert,N1,A,0.0
1123,Bridge start,N1,A,0.0
1124,Bridge end,N1,B,0.0
1125,Box culvert,N1,A,0.0
1127,Box culvert,N1,B,0.0
1128,Bridge start,N1,A,0.0
1129,Bridge end,N1,A,0.0
1130,Box culvert,N1,C,4712.108123228198
1131,Box Culvert,N1,C,122.65259778023568
1132,Box culvert,N1,A,0.0
1134,Box culvert,N1,C,5424.263272288888
1135,Box culvert,N1,C,195.71690893361105
1136,Box culvert,N1,C,157.87700794888326
1137,Box culvert,N1,C,98.86204982496986
1138,Box culvert,N1,C,3922.8027455016695
1140,Box culvert,N1,A,0.0
1141,Bridge start,N1,B,0.0
1142,Bridge end,N1,B,0.0
1144,Bridge start,N1,C,3986.964755452056
1145,Bridge end,N1,C,155.2492591711496
1146,Box culvert,N1,A,0.0
1148,Box culvert,N1,C,3338.524930476106
1149,Box culvert,N1,D,404.9429875108503
1150,Box culvert,N1,C,4647.150102855419
1151,Box culvert,N1,B,0.0
1152,Bridge start,N1,B,0.0
1153,Bridge end,N1,B,0.0
1155,Box culvert,N1,A,0.0
1156,Box culvert,N1,C,125.41135282518559
1157,Bridge start,N1,A,0.0
