bridge_id,bridge_name,road_name,condition,length,is_broken,total_wait_time
403,Box Culvert,N1,A,472.0000000000084,True,4284.578126460217
404,Box culvert,N1,Unknown,34.99999999999659,False,0.0
406,Bridge start,N1,B,6.000000000000227,False,0.0
408,Bridge end,N1,B,485.99999999999,False,0.0
410,Box culvert,N1,A,24.00000000000091,False,0.0
412,Box culvert,N1,A,2.0000000000095497,False,0.0
413,Box culvert,N1,A,528.9999999999964,False,0.0
415,Box culvert,N1,A,546.999999999997,False,0.0
417,Bridge start,N1,A,23.00000000002456,False,0.0
418,Bridge end,N1,A,156.99999999998226,False,0.0
420,Box culvert,N1,A,768.0000000000007,False,0.0
422,Box culvert,N1,B,967.9999999999892,False,0.0
424,Box culvert,N1,Unknown,987.9999999999995,False,0.0
426,Box culvert,N1,A,460.9999999999843,False,0.0
428,Box culvert,N1,A,74.99999999998863,False,0.0
429,Box culvert,N1,A,215.0000000000034,False,0.0
431,Box culvert,N1,C,606.9999999999993,False,0.0
432,Box Culvert,N1,Unknown,137.00000000000043,False,0.0
434,Box culvert,N1,Unknown,342.00000000001296,False,0.0
435,Box culvert,N1,A,381.0000000000002,False,0.0
436,Box culvert,N1,A,219.9999999999989,False,0.0
438,Box culvert,N1,A,216.00000000000816,False,0.0
440,Box culvert,N1,A,543.9999999999827,False,0.0
441,Box culvert,N1,A,317.0000000000073,False,0.0
443,Box culvert,N1,A,230.9999999999945,False,0.0
444,Box culvert,N1,A,99.00000000001796,False,0.0
447,Box culvert,N1,A,506.0000000000002,False,0.0
448,Box culvert,N1,A,370.00000000000455,False,0.0
450,Box culvert,N1,A,540.0000000000205,False,0.0
451,Box culvert,N1,A,322.0000000000028,False,0.0
453,Box culvert,N1,A,208.9999999999748,False,0.0
454,Box culvert,N1,A,411.00000000000136,False,0.0
456,Box culvert,N1,A,462.99999999999386,False,0.0
457,Box culvert,N1,A,469.99999999999886,False,0.0
459,Box culvert,N1,A,86.99999999998909,False,0.0
461,Box culvert,N1,A,782.0000000000107,False,0.0
462,Box culvert,N1,A,82.99999999999841,False,0.0
464,Box culvert,N1,A,332.9999999999984,True,4275.035977420226
465,Box culvert,N1,A,163.0000000000109,False,0.0
466,Bridge start,N1,A,20.000000000010232,False,0.0
467,Bridge end / Box culvert,N1,A,252.9999999999859,False,0.0
468,Box culvert,N1,A,91.0000000000082,False,0.0
470,Box culvert,N1,A,611.9999999999948,False,0.0
471,Box culvert,N1,A,372.0000000000141,False,0.0
473,Box culvert,N1,A,951.9999999999982,False,0.0
475,Box culvert,N1,A,115.0000000000091,False,0.0
476,Box culvert,N1,B,48.99999999997817,False,0.0
477,Box culvert,N1,B,681.0000000000116,False,0.0
478,Box culvert,N1,A,25.000000000005684,False,0.0
480,Box culvert,N1,C,757.000000000005,False,0.0
482,Bridge start,N1,A,26.00000000001046,False,0.0
483,Bridge end,N1,A,342.9999999999893,False,0.0
485,Box culvert,N1,A,182.99999999999272,False,0.0
487,Bridge start,N1,A,18.000000000000682,False,0.0
488,Bridge end,N1,A,604.9999999999898,False,0.0
490,Box culvert,N1,A,275.0000000000057,False,0.0
491,Bridge start,N1,A,14.000000000010004,False,0.0
492,Bridge end,N1,A,216.9999999999845,True,4255.658145345978
493,Box culvert,N1,A,316.0000000000025,True,4323.039801756177
496,Bridge start,N1,A,31.00000000000591,False,0.0
497,Bridge end,N1,A,824.9999999999886,False,0.0
499,Box culvert,N1,A,882.000000000005,False,0.0
501,Box culvert,N1,A,909.9999999999966,False,0.0
503,Bridge start,N1,B,18.000000000000682,False,0.0
504,Bridge end,N1,B,64.99999999999773,False,0.0
506,Bridge start,N1,A,45.00000000001592,False,0.0
507,Bridge end,N1,Unknown,181.99999999998795,False,0.0
508,Box culvert,N1,A,193.9999999999884,False,0.0
509,Bridge start,N1,A,40.99999999999682,True,67543.1735468678
510,Bridge end,N1,A,262.00000000000045,False,0.0
512,Bridge start,N1,A,12.000000000000457,False,0.0
513,Bridge end,N1,A,239.00000000000432,True,4265.743626734381
514,Bridge start,N1,A,18.000000000000682,False,0.0
515,Bridge end,N1,A,530.0000000000011,False,0.0
516,Box culvert,N1,A,56.99999999998795,False,0.0
518,Bridge start,N1,B,19.000000000005457,False,0.0
519,Bridge end,N1,A,295.99999999999227,False,0.0
521,Box culvert,N1,A,174.0000000000066,False,0.0
523,Box culvert,N1,B,600.9999999999991,False,0.0
524,Bridge start,N1,B,25.000000000005684,False,0.0
525,Bridge end,N1,B,88.99999999999864,False,0.0
527,Box culvert,N1,A,135.99999999999568,False,0.0
530,Bridge start,N1,B,26.00000000001046,False,0.0
531,Bridge end,N1,B,807.9999999999927,False,0.0
534,Bridge start,N1,A,30.99999999997749,False,0.0
535,Bridge end,N1,A,925.0000000000114,False,0.0
537,Box culvert,N1,A,311.00000000000705,False,0.0
538,Bridge start,N1,Unknown,42.999999999977945,False,0.0
539,Bridge end,N1,Unknown,449.0000000000123,False,0.0
542,Bridge start,N1,B,38.000000000010914,False,0.0
543,Bridge end,N1,B,796.999999999997,False,0.0
546,Box culvert,N1,Unknown,1.999999999981128,False,0.0
550,Bridge start,N1,A,7.000000000005002,False,0.0
551,Bridge end,N1,A,489.0000000000043,False,0.0
554,Box culvert,N1,A,350.9999999999991,False,0.0
555,Bridge start,N1,A,58.9999999999975,False,0.0
556,Bridge end,N1,A,313.9999999999929,False,0.0
558,Box culvert,N1,A,375.0,False,0.0
560,Bridge start,N1,A,19.000000000005457,False,0.0
561,Bridge end,N1,Unknown,544.9999999999875,False,0.0
567,Box culvert,N1,C,830.9999999999889,False,0.0
569,Bridge start,N1,A,14.000000000010004,False,0.0
570,Bridge end,N1,A,914.999999999992,False,0.0
572,Bridge start,N1,B,44.00000000001114,False,0.0
573,Bridge end,N1,B,406.9999999999823,False,0.0
575,Bridge start,N1,B,44.99999999998749,False,0.0
576,Bridge end,N1,B,80.0000000000125,False,0.0
577,Bridge start,N1,B,46.99999999999704,False,0.0
578,Bridge end,N1,B,775.999999999982,False,0.0
580,Shah Amanath (Karnaphuli) Bridge,N1,A,790.9999999999968,False,0.0
582,Bridge end,N1,Unknown,702.0000000000266,False,0.0
583,Bridge start,N1,A,15.999999999991132,False,0.0
584,Bridge end,N1,A,44.99999999998749,False,0.0
588,Box culvert,N1,C,146.99999999999136,False,0.0
590,Box culvert,N1,A,308.9999999999975,False,0.0
591,Box culvert,N1,A,293.0000000000064,False,0.0
593,Box culvert,N1,A,426.9999999999925,False,0.0
596,Box culvert,N1,A,447.00000000000273,False,0.0
597,Box culvert,N1,A,262.00000000000045,False,0.0
